hour,CO2_ppm_Trend,PM10_ugm3_Trend,PM2_5_ugm3_Trend,CO_ugm3_Trend
0,484.14925373134326,20.734920634920634,15.337110016420363,260.27257799671594
1,480.82089552238807,19.86688560481664,14.693869731800767,253.88779419813903
2,478.34328358208955,18.86053639846743,13.912479474548439,246.6414887794198
3,477.4029850746269,18.210125889436235,13.343404488232075,239.29939792008759
4,479.4776119402985,17.779584017515052,12.955883962780515,235.5544608648057
5,483.0149253731343,18.209085933223864,13.132019704433498,237.21072796934865
6,484.82089552238807,19.2135741652983,13.818171866447727,252.5977011494253
7,483.5820895522388,19.422769567597154,13.79775588396278,260.51340996168585
8,480.5223880597015,18.791187739463602,12.987794198139026,249.05145046524356
9,475.910447761194,17.65161466885605,11.953420908593323,233.816091954023
10,468.13432835820896,16.39792008757526,10.760919540229885,219.36507936507937
11,458.65671641791045,15.350903119868637,9.867104542966612,208.535851122058
12,452.4925373134328,14.754844006568144,9.33743842364532,201.32950191570882
13,450.74626865671644,14.571702244116038,9.104926108374384,198.01094690749864
14,452.089552238806,14.720689655172414,9.143021346469622,197.44608648056925
15,456.9850746268657,15.15095785440613,9.506787082649153,201.9408866995074
16,467.74626865671644,16.50103995621237,10.584345922276956,214.87411056376573
17,482.0,17.99616858237548,12.010509031198687,233.663929939792
18,492.95522388059703,19.763546798029555,13.66584564860427,251.8609742747674
19,497.74626865671644,21.514121510673235,15.337657361795294,271.76464148877943
20,499.17910447761193,22.547126436781607,16.380842911877394,281.92337164750955
21,498.3731343283582,22.985550082101806,16.907498631636564,286.160372194855
22,494.5970149253731,22.64696223316913,16.83305966064587,283.78598795840173
23,488.6119402985075,21.75457033388068,16.13765736179529,273.3546798029557
